title,article_id,ai4epi_fulltext_decision
Inhibition of Human Acetyl- and Butyrylcholinesterase by Novel Carbamates of (−)- and (+)-Tetrahydrofurobenzofuran and Methanobenzodioxepine,PMID_16570913,EXCLUDE
In-Vitro Test of Miniaturized CPW-Fed Implantable Conformal Patch Antenna at ISM Band for Biomedical Applications,DOI_cad664354bff,EXCLUDE
"Comparative in vivo analysis of the nsp15 endoribonuclease of murine, porcine and severe acute respiratory syndrome coronaviruses",PMID_22617024,EXCLUDE
Regulation of p90RSK phosphorylation by SARS‐CoV infection in Vero E6 cells,PMID_16458888,EXCLUDE
"Genomics and Proteomics of Mycobacteriophage Patience, an Accidental Tourist in the <i>Mycobacterium</i> Neighborhood",PMID_25467442,EXCLUDE
The Evolutionary Genetics and Emergence of Avian Influenza Viruses in Wild Birds,PMID_18516303,EXCLUDE
The Scientific Response to a Pandemic,PMID_16738708,EXCLUDE
Geotechnical Aspects of Underground Construction in Soft Ground,DOI_55e144585f66,UNCLEAR
Towards a Characterization of Behavior-Disease Models,PMID_21826228,EXCLUDE
Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV),DOI_9322acbf062c,EXCLUDE
Modular sequence elements associated with origin regions in eukaryotic chromosomal DNA,PMID_8041609,EXCLUDE
In vivo <i>T</i><sub>1ρ</sub> mapping in cartilage using 3D magnetization‐prepared angle‐modulated partitioned <i>k</i>‐space spoiled gradient echo snapshots (3D MAPSS),PMID_18228578,EXCLUDE
The SARS CoV-1 3a protein disrupts Golgi complex morphology and cargo trafficking,DOI_182331aa7768,EXCLUDE
"Marine Sediment-Derived Streptomyces Bacteria from British Columbia, Canada Are a Promising Microbiota Resource for the Discovery of Antimicrobial Natural Products",PMID_24130838,EXCLUDE
An Approach to Unsupervised Detection of Fully and Partially Destroyed Buildings in Multitemporal VHR SAR Images,DOI_eb12b75a6589,EXCLUDE
Effect of field strength on RF power deposition near conductive leads: A simulation study of SAR in DBS lead models during MRI at 1.5 T—10.5 T,PMID_36701285,EXCLUDE
"Molecular Docking, Molecular Dynamics, and Structure–Activity Relationship Explorations of 14-Oxygenated <i>N</i>-Methylmorphinan-6-ones as Potent μ-Opioid Receptor Agonists",PMID_28125215,EXCLUDE
Discovery of Triterpenoids as Reversible Inhibitors of α/β-hydrolase Domain Containing 12 (ABHD12),PMID_24879289,EXCLUDE
"Two‐Dimensional sixteen channel transmit/receive coil array for cardiac MRI at 7.0 T: Design, evaluation, and application",PMID_22706727,EXCLUDE
"The 2019 novel coronavirus (2019-nCoV) – transmission, symptoms and treatment",DOI_c252c4da313a,EXCLUDE
Transmission Electron Microscopy Studies of Cellular Responses to Entry of Virions: One Kind of Natural Nanobiomaterial,PMID_22567012,EXCLUDE
The MERS-CoV Outbreak: Challenges Facing the Dental Profession,PMID_25095856,EXCLUDE
"The Global One Health Paradigm: Challenges and Opportunities for Tackling Infectious Diseases at the Human, Animal, and Environment Interface in Low-Resource Settings",PMID_25393303,EXCLUDE
Time‐optimal design for multidimensional and parallel transmit variable‐rate selective excitation,PMID_19365849,EXCLUDE
Pandemic (H1N1) 2009 Influenza Community Transmission Was Established in One Australian State When the Virus Was First Identified in North America,PMID_20596536,EXCLUDE
Influenza and other emerging respiratory viruses,PMID_32288582,EXCLUDE
Reported COVID-19 vaccines side effects among Jordanian population: a cross sectional study,PMID_34614383,EXCLUDE
"Influence of current climate, historical climate stability and topography on species richness and endemism in Mesoamerican geophyte plants",PMID_29062605,EXCLUDE
SARS coronavirus 8b reduces viral replication by down-regulating E via an ubiquitin-independent proteasome pathway,PMID_21035562,EXCLUDE
Spatial Autoregressive Model of Tuberculosis Cases in Central Java Province 2019,DOI_9d78c80360f4,EXCLUDE
Study of OH-initiated degradation of 2-aminoethanol,DOI_c40fe0c4cf78,EXCLUDE
Analysis of the Contribution of Wind Drift Factor to Oil Slick Movement under Strong Tidal Condition: Hebei Spirit Oil Spill Case,PMID_24498094,EXCLUDE
Antimicrobial Resistance Determinants and Future Control,PMID_15963271,EXCLUDE
Effects of the infectious period distribution on predicted transitions in childhood disease dynamics,DOI_e5b21343c808,EXCLUDE
An Introduction to Spatial Econometrics,DOI_a7b3975a0116,EXCLUDE
Avian and swine influenza viruses: our current understanding of the zoonotic risk,PMID_17257572,EXCLUDE
Biochars reduce irrigation water sodium adsorption ratio,DOI_076dfc9e2ff9,EXCLUDE
Analysis of knowledge bases and research hotspots of coronavirus from the perspective of mapping knowledge domain,PMID_32481423,EXCLUDE
SAR Analysis Using a Dipole Antenna in a Non-layered and Multi-layered Human Head Model,DOI_c14c0f79053d,EXCLUDE
SARS in Pregnancy,PMID_15137260,EXCLUDE
Chicken single-chain variable fragments against the SARS-CoV spike protein,PMID_17643500,EXCLUDE
Responses of Chinese Elderly to the Threat of Severe Acute Respiratory Syndrome (SARS) in a Canadian Community,PMID_18173586,EXCLUDE
Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,DOI_d9c5a7faa36d,EXCLUDE
Structure–Activity Relationship in a Purine-Scaffold Compound Series with Selectivity for the Endoplasmic Reticulum Hsp90 Paralog Grp94,PMID_25901531,EXCLUDE
"THE INDIA MUTATIONS AND B.1.617 DELTA VARIANTS: IS THERE A GLOBAL ""STRATEGY"" FOR MUTATIONS AND EVOLUTION OF VARIANTS OF THE SARS-COV2 GENOME?",DOI_cc9c465b1dd8,EXCLUDE
Efficient measures to control an outbreak of SARS-CoV2 in an elderly care home and to prevent a spill over into the general population,DOI_5682f41101aa,EXCLUDE
Cost-effectiveness of telemedicine care for patients with uncontrolled type 2 diabetes mellitus during the COVID-19 pandemic in Saudi Arabia,PMID_34729144,EXCLUDE
Discovery of Novel Diarylpyrimidine Derivatives as Potent HIV-1 NNRTIs Targeting the “NNRTI Adjacent” Binding Site,DOI_9cff3820d495,EXCLUDE
Inhibitors of the Influenza A Virus M2 Proton Channel Discovered Using a High-Throughput Yeast Growth Restoration Assay,PMID_23383318,EXCLUDE
Modeling transmission dynamics and effectiveness of worker screening programs for SARS-CoV-2 in pork processing plants,DOI_b7ed02f66323,EXCLUDE
On the use of 210Pb-based records of sedimentation rates and activity concentrations for tracking past environmental changes,PMID_35065335,EXCLUDE
Global Microbiome Diversity Scaling in Hot Springs With DAR (Diversity-Area Relationship) Profiles,PMID_30853941,EXCLUDE
Degradation of soil quality by the waste leachate in a Mediterranean semi-arid ecosystem,PMID_34059717,EXCLUDE
SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUSES AND 21ST CENTURY PANDEMIC: AN OVERVIEW OF FUNCTIONAL RECEPTORS AND CHALLENGE OF THERAPEUTIC SUCCESS,DOI_45c345da8aba,EXCLUDE
Diagnosis and treatment of Hymenoptera venom allergy,PMID_37854067,EXCLUDE
Bispecific Antibodies Enable Synthetic Agonistic Receptor-Transduced T Cells for Tumor Immunotherapy,PMID_31285373,EXCLUDE
Modelling lockdown measures in epidemic outbreaks using selective socio-economic containment with uncertainty,DOI_22e1cbb4e436,EXCLUDE
The Impact of Matching Vaccine Strains and Post-SARS Public Health Efforts on Reducing Influenza-Associated Mortality among the Elderly,PMID_20592764,EXCLUDE
Selective Class I HDAC Inhibitors Based on Aryl Ketone Zinc Binding Induce HIV-1 Protein for Clearance,PMID_32676157,EXCLUDE
Elevated Properdin and Enhanced Complement Activation in First-Degree Relatives of South Asian Subjects With Type 2 Diabetes,PMID_22338105,EXCLUDE
"Rare mutations in the accessory proteins ORF6, ORF7b and ORF10 of the SARS-CoV2 genomes",DOI_d8248f7cb774,EXCLUDE
Impact of SARS on healthcare utilization by disease categories: Implications for delivery of healthcare services,PMID_17445942,EXCLUDE
Molecular conservation and Differential mutation on ORF3a gene in Indian SARS-CoV2 genomes,DOI_f56586269be1,EXCLUDE
SEMUS—An Open-Source RF-Level SAR Emulator for Interference Modeling in Spaceborne Applications,DOI_c53fc2c52bc7,EXCLUDE
Heating ability of magnetic nanoparticles with cubic and combined anisotropy,PMID_30800569,EXCLUDE
Animal models for highly pathogenic emerging viruses,PMID_23403208,EXCLUDE
Viral Macro Domains Reverse Protein ADP-Ribosylation,PMID_27440879,EXCLUDE
Introducing the Outbreak Threshold in Epidemiology,PMID_23785276,EXCLUDE
Discovery of a Chemical Probe Bisamide (CCT251236): An Orally Bioavailable Efficacious Pirin Ligand from a Heat Shock Transcription Factor 1 (HSF1) Phenotypic Screen,PMID_28004573,EXCLUDE
"The immune responses of HLA-A*0201 restricted SARS-CoV S peptide-specific CD8+ T cells are augmented in varying degrees by CpG ODN, PolyI:C and R848",PMID_21745520,EXCLUDE
"Time-varying, serotype-specific force of infection of dengue virus",PMID_24847073,EXCLUDE
"Synthesis and <scp>SAR</scp> studies of novel 6,7,8‐substituted 4‐substituted benzyloxyquinolin‐2(1<scp><i>H</i></scp>)‐one derivatives for anticancer activity",PMID_25363404,EXCLUDE
"A Genome Sequence of Novel SARS-CoV Isolates: The Genotype, GD-<i>Ins</i>29, Leads to a Hypothesis of Viral Transmission in South China",PMID_15626340,INCLUDE
"Human coronavirus NL63, a new respiratory virus",PMID_16911043,EXCLUDE
Purification of severe acute respiratory syndrome hyperimmune globulins for intravenous injection from convalescent plasma,PMID_15987362,INCLUDE
Discovery of a missing disease spreader,PMID_32288084,EXCLUDE
Zika virus and microcephaly: why is this situation a PHEIC?,PMID_26876373,EXCLUDE
Improving surveillance of MRSA bacteraemia,PMID_16254275,EXCLUDE
"Design, synthesis and crystallographic analysis of nitrile-based broad-spectrum peptidomimetic inhibitors for coronavirus 3C-like proteases",PMID_23202846,EXCLUDE
Deep Learning Based Drug Screening for Novel Coronavirus 2019-nCov,DOI_bef6d12fd4b2,EXCLUDE
Antiprotozoal Structure–Activity Relationships of Synthetic Leucinostatin Derivatives and Elucidation of their Mode of Action,PMID_33730410,EXCLUDE
Social Contact Networks and Disease Eradicability under Voluntary Vaccination,PMID_19197342,EXCLUDE
Trichoderma spp. Genes Involved in the Biocontrol Activity Against Rhizoctonia solani,PMID_35694310,EXCLUDE
"The transmission of Hand, Foot, and Mouth Disease in East and Southeast Asia",DOI_877d34661530,EXCLUDE
Maintenance of biodiversity on islands,PMID_27122558,EXCLUDE
Female reproductive tract has low concentration of SARS-CoV2 receptors,PMID_33315943,EXCLUDE
Nanoparticle detection of respiratory infection,PMID_20201109,EXCLUDE
SA-ABA antagonism in defense responses,PMID_20861686,EXCLUDE
Perturbations of BMP/TGF-β and VEGF/VEGFR signalling pathways in non-syndromic sporadic brain arteriovenous malformations (BAVM),PMID_30120215,EXCLUDE
Whole-Genome Sequencing Of Omicron Identified Multiple Outbreaks And Introduction Events In India During November 2021 and January 2022,DOI_4748de439430,EXCLUDE
Pandemic Influenza Planning in the United States from a Health Disparities Perspective,PMID_18439350,EXCLUDE
"Synthesis and Biological Evaluation of a New Series of 1,2,4-Triazolo[1,5-<i>a</i>]-1,3,5-triazines as Human A<sub>2A</sub>Adenosine Receptor Antagonists with Improved Water Solubility",PMID_21214204,EXCLUDE
Assays for the assessment of neutralizing antibody activities against Severe Acute Respiratory Syndrome (SARS) associated coronavirus (SCV),PMID_15894326,EXCLUDE
ESTIMATION OF CORE TEMPERATURE ELEVATION IN HUMANS AND ANIMALS FOR WHOLE-BODY AVERAGED SAR,DOI_94e65a9aac2d,EXCLUDE
SAR Image Change Detection via Heterogeneous Graph With Multiorder and Multilevel Connections,DOI_b1d64963b1c0,EXCLUDE
Real-Time Epidemic Monitoring and Forecasting of H1N1-2009 Using Influenza-Like Illness from General Practice and Family Doctor Clinics in Singapore,PMID_20418945,EXCLUDE
On the Mitigation of Phase Bias in SAR Interferometry Applications: A New Model Based on NDWI,DOI_cb945dc6cc8b,EXCLUDE
Agonists and Antagonists for P2 Receptors,PMID_16805423,EXCLUDE
Development and implementation of (Q)SAR modeling within the CHARMMing web-user interface,PMID_25362883,EXCLUDE
"Laboratory biosafety in China: past, present, and future",PMID_32501443,EXCLUDE
New paradigm for protection:The emergency ambulance services in the time of severe acute respiratory syndrome,PMID_15295733,INCLUDE
"The ecology of the banded civet (<i>Hemigalus derbyanus</i>) in Southeast Asia with implications for mesopredator release, zoonotic diseases, and conservation",PMID_35505997,EXCLUDE
Hemophagocytic lymphohistiocytosis: review of etiologies and management,PMID_24966707,EXCLUDE
RF Energy Absorption in Human Bodies Due to Wearable Antennas in the 2.4 GHz Frequency Band,PMID_31746011,EXCLUDE
Clinical and immunological effects of mRNA vaccines in malignant diseases,PMID_33722265,EXCLUDE
"Fast Ice Prediction System (FIPS) for land-fast sea ice at Prydz Bay, East Antarctica: an operational service for CHINARE",DOI_1fa8deb28cfe,EXCLUDE
Database for the kinetics of the gas-phase atmospheric reactions of organic compounds,DOI_4c5ad8a70970,EXCLUDE
Transmissibility of the Influenza Virus in the 1918 Pandemic,PMID_18231585,EXCLUDE
Evaluation of Road User Radio-Frequency Exposure Levels in an Urban Environment From Vehicular Antennas and the Infrastructure in ITS-G5 5.9 GHz Communication,DOI_cafe3cbbdbb9,EXCLUDE
Transmission Potential and Design of Adequate Control Measures for Marburg Hemorrhagic Fever,PMID_23251407,EXCLUDE
Targeting N-Glycan Cryptic Sugar Moieties for Broad-Spectrum Virus Neutralization: Progress in Identifying Conserved Molecular Targets in Viruses of Distinct Phylogenetic Origins,PMID_25774492,EXCLUDE
Nitric Oxide Responsive Heavy Metal-Associated Gene AtHMAD1 Contributes to Development and Disease Resistance in Arabidopsis thaliana,PMID_27917181,EXCLUDE
Effect of coronavirus infection on the human heart: A scoping review,PMID_32423250,EXCLUDE
"Statistical Exploration of SENTINEL-1 Data, Terrain Parameters, and in-situ Data for Estimating the Near-Surface Soil Moisture in a Mediterranean Agroecosystem",DOI_67988a850988,EXCLUDE
Performance Evaluation of a GLRT Moving Target Detector for TerraSAR-X Along-Track Interferometric Data,DOI_1759dc3dd59c,EXCLUDE
H5N1 and 1918 Pandemic Influenza Virus Infection Results in Early and Excessive Infiltration of Macrophages and Neutrophils in the Lungs of Mice,PMID_18670648,EXCLUDE
A Review: Understanding Molecular Mechanisms of Antibody-Dependent Enhancement in Viral Infections,PMID_37515055,EXCLUDE
Identification of the Receptor-Binding Domain of the Spike Glycoprotein of Human Betacoronavirus HKU1,PMID_26085157,EXCLUDE
Two-amino acids change in the nsp4 of SARS coronavirus abolishes viral replication,PMID_28738245,EXCLUDE
SARS pandemic exposure impaired early childhood development in China,PMID_33888748,EXCLUDE
Effects of immunophilin inhibitors and non-immunosuppressive analogs on coronavirus replication in human infection models,PMID_36211973,EXCLUDE
Conversion of Quinazoline Modulators from Inhibitors to Activators of β-Glucocerebrosidase,PMID_30645117,EXCLUDE
"The Role of Regional Anesthesia During the SARS-CoV2 Pandemic: Appraisal of Clinical, Pharmacological and Organizational Aspects",PMID_34149401,EXCLUDE
Early efforts in modeling the incubation period of infectious diseases with an acute course of illness,PMID_17466070,EXCLUDE
Phylogenetic Analysis of the Novel Coronavirus Reveals Important Variants in Indian Strains,DOI_241fd6907d43,EXCLUDE
Pemodelan Faktor-faktor yang Mempengaruhi Balita Gizi Buruk di Provinsi Jawa Barat Tahun 2017 dengan Pendekatan Spatial Autoregressive Model (SAR),DOI_3d4e3c5623ae,EXCLUDE
Design and virtual screening of novel fluoroquinolone analogs as effective mutant DNA GyrA inhibitors against urinary tract infection-causing fluoroquinolone resistant <i>Escherichia coli</i>,PMID_35540291,EXCLUDE
Mammalian phylogenetic diversity–area relationships at a continental scale,PMID_26649401,EXCLUDE
CRAS-YOLO: A Novel Multi-Category Vessel Detection and Classification Model Based on YOLOv5s Algorithm,DOI_6a04b2429a7d,EXCLUDE
Systemic Acquired Resistance in Moss: Further Evidence for Conserved Defense Mechanisms in Plants,PMID_25000589,EXCLUDE
Expression Profile and Functional Activity of Peptide Transporters in Prostate Cancer Cells,PMID_22950754,EXCLUDE
Time Course and Cellular Localization of SARS-CoV Nucleoprotein and RNA in Lungs from Fatal Cases of SARS,PMID_16379499,EXCLUDE
On piecewise models and species–area patterns,PMID_31380094,EXCLUDE
Animal-to-Human SARS-associated Coronavirus Transmission?,PMID_15216845,EXCLUDE
The impact of SARS on epilepsy: The experience of drug withdrawal in epileptic patients,PMID_16188463,INCLUDE
Global migration of influenza A viruses in swine,PMID_25813399,EXCLUDE
Pandemic risk: how large are the expected losses?,PMID_29403116,EXCLUDE
Comparison of Orbit-Based and Time-Offset-Based Geometric Correction Models for SAR Satellite Imagery Based on Error Simulation,PMID_28106729,EXCLUDE
Modulation of spectral properties and pump activity of proteorhodopsins by retinal analogues,PMID_25655771,EXCLUDE
Crystallization and preliminary X-ray crystallographic analysis of a nonstructural protein 15 mutant from<i>Human coronavirus 229E</i>,PMID_26323302,EXCLUDE
The T4 RI Antiholin Has an N-Terminal Signal Anchor Release Domain That Targets It for Degradation by DegP,PMID_17693511,EXCLUDE
Acyclic Analogues of Adenosine Bisphosphates as P2Y Receptor Antagonists:  Phosphate Substitution Leads to Multiple Pathways of Inhibition of Platelet Aggregation,PMID_12477353,EXCLUDE
Non-pharmaceutical public health interventions for pandemic influenza: an evaluation of the evidence base,PMID_17697389,EXCLUDE
ANALYSIS OF MATERIALS EFFECTS ON RADIO FREQUENCY ELECTROMAGNETIC FIELDS IN HUMAN HEAD,DOI_7ee2d43cdad3,EXCLUDE
Synthesis of Novel Benzimidazole-Based Thiazole Derivatives as Multipotent Inhibitors of α-Amylase and α-Glucosidase: In Vitro Evaluation along with Molecular Docking Study,PMID_36234994,EXCLUDE
Genomic Sequencing of a SARS Coronavirus Isolate That Predated the Metropole Hotel Case Cluster in Hong Kong,PMID_14709660,EXCLUDE
Evaluation of Distance Education Process Due to New Type of Coronavirus (SARS-CoV2) Pandemic with the Opinions of Elementary School Classroom Teachers,DOI_9f7836d9d863,EXCLUDE
"THE ""SLOPE"" EFFECT OF COHERENT TRANSPONDER IN INSAR DEM",DOI_a1c0d1847465,EXCLUDE
Mathematical prediction in infection,PMID_32288561,EXCLUDE
A Novel Method to Decrease Electric Field and SAR Using an External High Dielectric Sleeve at 3 T Head MRI: Numerical and Experimental Results,PMID_25347873,EXCLUDE
Indolyl Azaspiroketal Mannich Bases Are Potent Antimycobacterial Agents with Selective Membrane Permeabilizing Effects and in Vivo Activity,PMID_29894180,EXCLUDE
"Arboviral Etiologies of Acute Febrile Illnesses in Western South America, 2000–2007",PMID_20706628,EXCLUDE
Les antirétroviraux ont-ils une place dans le traitement du syndrome respiratoire aigu sévère ?,PMID_16462674,EXCLUDE
From SARS to Avian Influenza: The Role of International Factors in China's Approach to Infectious Disease Control,PMID_27325075,EXCLUDE
"<i>sarU</i> , a <i>sarA</i> Homolog, Is Repressed by SarT and Regulates Virulence Genes in <i>Staphylococcus aureus</i>",PMID_12496184,EXCLUDE
Protein Chip Array Profiling Analysis in Patients with Severe Acute Respiratory Syndrome Identified Serum Amyloid A Protein as a Biomarker Potentially Useful in Monitoring the Extent of Pneumonia,PMID_15364884,EXCLUDE
Coronavirus Spike Protein Inhibits Host Cell Translation by Interaction with eIF3f,PMID_18231581,EXCLUDE
Array-Based Ground Penetrating Synthetic Aperture Radar on Board an Unmanned Aerial Vehicle for Enhanced Buried Threats Detection,DOI_9e819387e0a5,EXCLUDE
High Affinity Dopamine D<sub>3</sub>Receptor (D<sub>3</sub>R)-Selective Antagonists Attenuate Heroin Self-Administration in Wild-Type but not D<sub>3</sub>R Knockout Mice,PMID_26203768,EXCLUDE
"Design, Synthesis, and Structure–Activity Relationships of Highly Potent 5-HT<sub>3</sub>Receptor Ligands",PMID_23006041,EXCLUDE
Development of a Numerical Tablet Model in WLAN Band for SAR Study,DOI_cf5410d76da9,EXCLUDE
Challenges and opportunities in pandemic influenza planning: lessons learned from recent infectious disease preparedness and response efforts,PMID_32288145,EXCLUDE
"Design, synthesis and biological evaluation of quinoline-indole derivatives as anti-tubulin agents targeting the colchicine binding site",PMID_30530194,EXCLUDE
Principles of early drug discovery,PMID_21091654,EXCLUDE
Inhibitors of SARS-CoV entry – Identification using an internally-controlled dual envelope pseudovirion assay,PMID_21820471,EXCLUDE
MULTIBAND FRACTAL PLANAR INVERTED F ANTENNA (F-PIFA) FOR MOBILE PHONE APPLICATION,DOI_874f6aeb97b3,EXCLUDE
Genomics and zoonotic infections: Middle East respiratory syndrome,PMID_27217178,EXCLUDE
Fitting Conditional and Simultaneous Autoregressive Spatial Models in hglm,DOI_5dbcc707875f,EXCLUDE
Neutralizing antibody and protective immunity to SARS coronavirus infection of mice induced by a soluble recombinant polypeptide containing an N-terminal segment of the spike glycoprotein,PMID_15780866,EXCLUDE
Epitope mapping and biological function analysis of antibodies produced by immunization of mice with an inactivated Chinese isolate of severe acute respiratory syndrome-associated coronavirus (SARS-CoV),PMID_15749129,EXCLUDE
Effect of the North Equatorial Counter Current on the generation and propagation of internal solitary waves off the Amazon shelf (SAR observations),DOI_19d574d736a4,EXCLUDE
Pidotimod in paucisymptomatic SARS-CoV2 infected patients,PMID_32670526,EXCLUDE
Functionalized Congeners of A<sub>3</sub>Adenosine Receptor-Selective Nucleosides Containing a Bicyclo[3.1.0]hexane Ring System,PMID_19499950,EXCLUDE
Spatial Pattern and Spatial Heterogeneity of Chinese Elite Hospitals: A Country-Level Analysis,PMID_34604156,EXCLUDE
Clinical meanings of rapid serological assay in patients tested for SARS-Co2 RT-PCR,DOI_098b0844104d,EXCLUDE
Using Molecular Initiating Events to Develop a Structural Alert Based Screening Workflow for Nuclear Receptor Ligands Associated with Hepatic Steatosis,PMID_26787004,EXCLUDE
"Depression, Anxiety, and Low Self-Esteem Dynamics in Pregnancy During the SARS-COV2 Pandemic",DOI_eb358003521e,EXCLUDE
"Impact of infectious diseases on population health using incidence-based disability-adjusted life years (DALYs): results from the Burden of Communicable Diseases in Europe study, European Union and European Economic Area countries, 2009 to 2013",PMID_29692315,EXCLUDE
"Design, Synthesis and Antitubercular Activity of Certain Nicotinic Acid Hydrazides",PMID_25988611,EXCLUDE
Hepatitis C Virus Resistance to Carbohydrate-Binding Agents,PMID_26871442,EXCLUDE
Protein Phylogenetic Analysis of Ca2+/cation Antiporters and Insights into their Evolution in Plants,PMID_22645563,EXCLUDE
Atmospheric Phase Compensation in Extreme Weather Conditions for Ground-Based SAR,DOI_dde7c67057ec,EXCLUDE
Synthesis and Biological Evaluation of Phenanthrenes as Cytotoxic Agents with Pharmacophore Modeling and ChemGPS-NP Prediction as Topo II Inhibitors,PMID_22666407,EXCLUDE
Combining near‐ and far‐field exposure for an organ‐specific and whole‐body RF‐EMF proxy for epidemiological research: A reference case,PMID_23417714,EXCLUDE
Stimulation of angiogenesis by substance P and interleukin‐1 in the rat and its inhibition by NK<sub>1</sub>or interleukin‐1 receptor antagonists,PMID_7693287,EXCLUDE
"Celiac disease: Prevalence, diagnosis, pathogenesis and treatment",PMID_23155333,EXCLUDE
Pandemic Threats and the Need for New Emergency Public Health Legislation in Canada,PMID_19305702,EXCLUDE
Recent Challenges and Opportunities on Middle East Respiratory Syndrome Corona Virus (MERS Cov),DOI_1906db738d48,EXCLUDE
Design of Miniaturized Double-Negative Material for Specific Absorption Rate Reduction in Human Head,PMID_25350398,EXCLUDE
The influenza pandemic preparedness planning tool InfluSim,PMID_17355639,EXCLUDE
Development of selective agonists and antagonists of P2Y receptors,PMID_18600475,EXCLUDE
Monitoring the propagation of SARS CoV2 variants by tracking identified mutation in wastewater using specific RT-qPCR,DOI_00bebeb20426,EXCLUDE
Improved image quality and reduced power deposition in the spine at 3 T using extremely high permittivity materials,PMID_28543615,EXCLUDE
SHIP-YOLO: A Lightweight Synthetic Aperture Radar Ship Detection Model Based on YOLOv8n Algorithm,DOI_b4d467ac95d4,EXCLUDE
Expression of tomato salicylic acid ( <scp>SA</scp> )‐responsive pathogenesis‐related genes in <i> <scp>Mi</scp> ‐1‐ </i> mediated and <scp>SA</scp> ‐induced resistance to root‐knot nematodes,PMID_24118790,EXCLUDE
Tuberculosis prevention in healthcare workers in China 10 years after the severe acute respiratory syndrome pandemic,PMID_27730135,EXCLUDE
Vertical transmission of SARS‐CoV2 during pregnancy: A high‐risk cohort,PMID_34101871,EXCLUDE
Bioinformatic analysis of inverted repeats of coronaviruses genome,DOI_a936c65d31fa,EXCLUDE
CAP-RAM: A Charge-Domain In-Memory Computing 6T-SRAM for Accurate and Precision-Programmable CNN Inference,DOI_83a170c9fce2,EXCLUDE
Strategies for Inbound Tourism Recovery from a Catastrophe: The Case of Severe Acute Respiratory Syndrome in Taiwan,DOI_78df49f610ef,EXCLUDE
Monitoring and Analysis of Ground Surface Settlement in Mining Clusters by SBAS-InSAR Technology,PMID_35632120,EXCLUDE
Serologic response following SARS-COV2 vaccination in patients with cancer: a systematic review and meta-analysis,PMID_35123511,EXCLUDE
High-throughput assay using a GFP-expressing replicon for SARS-CoV drug discovery,PMID_18584889,EXCLUDE
"The State of the Science of health care epidemiology, infection control, and patient safety, 2004",PMID_15573058,EXCLUDE
Coronavirus-Associated Coagulopathy: Lessons From SARS-CoV1 and MERS-CoV for the Current SARS-CoV2 Pandemic,PMID_33282586,EXCLUDE
Development of Potent μ and δ Opioid Agonists with High Lipophilicity,PMID_21128594,EXCLUDE
"Bioactivities of Ketones Terpenes: Antifungal Effect on F. verticillioides and Repellents to Control Insect Fungal Vector, S. zeamais",PMID_27682121,EXCLUDE
"Evolution of genomes, host shifts and the geographic spread of SARS‐CoV and related coronaviruses",PMID_32313363,EXCLUDE
Construction of an integrated database for hERG blocking small molecules,PMID_29979714,EXCLUDE
The economic impact of quarantine: SARS in Toronto as a case study,PMID_15907545,INCLUDE
Big Data for Infectious Disease Surveillance and Modeling,PMID_28830113,EXCLUDE
Modelling the transmission of healthcare associated infections: a systematic review,PMID_23809195,EXCLUDE
Smallpox containment updated: considerations for the 21st century,PMID_15491871,EXCLUDE
Airborne spread of infectious agents in the indoor environment,PMID_27590694,EXCLUDE
Design and characterization of an eight‐element passively fed meander‐dipole array with improved specific absorption rate efficiency for 7 T body imaging,PMID_31131944,EXCLUDE
Perspective Chapter: Emerging Infectious Diseases as a Public Health Problem,DOI_ef964ae87ed9,EXCLUDE
Reassessing the population based Seroprevalence for IgG antibodies against SARS COV2 in Ahmedabad,DOI_982e990ba6aa,EXCLUDE
Intracellular localization of the SARS coronavirus protein 9b: Evidence of active export from the nucleus,PMID_17448558,EXCLUDE
A NOVEL DIELECTRIC CONFORMAL FDTD METHOD FOR COMPUTING SAR DISTRIBUTION OF THE HUMAN BODY IN A METALLIC CABIN ILLUMINATED BY AN INTENTIONAL ELECTROMAGNETIC PULSE (IEMP),DOI_11f97f7a0049,EXCLUDE
Quantitative Three Dimensional Structure Linear Interaction Energy Model of 5′-<i>O</i>-[<i>N</i>-(Salicyl)sulfamoyl]adenosine and the Aryl Acid Adenylating Enzyme MbtA,PMID_18959400,EXCLUDE
"Local SAR, global SAR, and power‐constrained large‐flip‐angle pulses with optimal control and virtual observation points",PMID_26715084,EXCLUDE
The SARS coronavirus E protein interacts with the PALS1 and alters tight junction formation and epithelial morphogenesis,DOI_75ad5e1deabb,EXCLUDE
A novel sub-epidemic modeling framework for short-term forecasting epidemic waves,PMID_31438953,INCLUDE
The Psychological Impact of Coronavirus Disease 2019 on Nurses in Saudi Arabia and Their Coping Strategies,PMID_33959681,EXCLUDE
Modelling the SARS-CoVid-2 outbreak in Italy: development of a robust statistical index to track disease dynamics.,DOI_1d9377152c34,EXCLUDE
"The relative transmissibility of shigellosis among male and female individuals in Hubei Province, China: a modelling study",DOI_2c176082ba29,EXCLUDE
Godzilla in the corridor: The Ontario SARS crisis in historical perspective,PMID_16324846,EXCLUDE
Retrieving Precise Three-Dimensional Deformation on the 2014 M6.0 South Napa Earthquake by Joint Inversion of Multi-Sensor SAR,PMID_28710455,EXCLUDE
